7102 7101
log4j:WARN No appenders could be found for logger (org.apache.hadoop.metrics2.lib.MutableMetricsFactory).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
mac : 9CB6549527D400
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 200
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 201
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 202
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 203
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 204
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 205
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 206
20151023T203215 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203215 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 205
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 206
20151023T203215 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 205
20151023T203215 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 206
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 207
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 208
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 209
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 210
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 211
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 212
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 213
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 214
20151023T203216 : ../src/server/tsdb_session.cpp CloseSession 189 : 2
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 214
20151023T203216 : ../src/server/tsdb_session.cpp CloseSession 189 : 2
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 214
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 215
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 215
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 216
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 216
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 217
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 218
20151023T203216 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203216 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 217
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 218
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 219
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 220
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 221
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 222
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 223
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 224
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 225
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 226
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 227
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 227
20151023T203216 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 228
20151023T203216 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 228
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 229
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 230
20151023T203217 : ../src/server/tsdb_session.cpp CloseSession 189 : 2
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 230
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 231
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 231
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 232
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 233
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 234
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 235
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 236
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 236
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 236
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 237
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 238
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 239
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 240
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 240
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 241
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 242
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 243
20151023T203217 : ../src/server/tsdb_session.cpp CloseSession 189 : 2
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 243
20151023T203217 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 244
20151023T203217 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 244
20151023T203218 : ../src/server/tsdb_session.cpp CloseSession 189 : 3
20151023T203218 : ../src/server/tsdb_session.cpp CloseSession 189 : 1
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 243
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 243
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 244
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 244
20151023T203218 : ../src/server/tsdb_server.cpp AddGprsConnection 81 : 245
20151023T203218 : ../src/server/tsdb_session.cpp CloseSession 189 : 4
